,Similar_metric,DTW
p100_MNIST_CNN_batchsize32_datasize224_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize32_datasize224_total_epoch10_totaldata2000,3.797651014911181
p100_MNIST_CNN_batchsize16_datasize224_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize32_datasize128_total_epoch10_totaldata5000,5.050364024146941
p100_MNIST_CNN_batchsize64_datasize128_total_epoch10_totaldata5000,p3_LeNet5_batchsize32_datasize128_total_epoch10_totaldata5000,2.5321783081380267
p100_MNIST_CNN_batchsize256_datasize128_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize128_datasize224_total_epoch10_totaldata2000,4.271828047319167
p100_MNIST_CNN_batchsize32_datasize64_total_epoch10_totaldata5000,p3_LeNet5_batchsize128_datasize128_total_epoch10_totaldata5000,1.7567431414589365
p100_MNIST_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,g4dn_MNIST_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,3.600981941570056
p100_MNIST_CNN_batchsize128_datasize224_total_epoch10_totaldata2000,p3_LeNet5_batchsize256_datasize256_total_epoch10_totaldata2000,3.1662599258449977
p100_MNIST_CNN_batchsize64_datasize224_total_epoch10_totaldata2000,p3_VGG19_batchsize16_datasize64_total_epoch10_totaldata5000,6.238299956394893
p100_MNIST_CNN_batchsize32_datasize128_total_epoch10_totaldata5000,g5_VGG19_batchsize256_datasize64_total_epoch10_totaldata5000,3.5749818003394136
p100_MNIST_CNN_batchsize16_datasize128_total_epoch10_totaldata5000,p3_LeNet5_batchsize64_datasize256_total_epoch10_totaldata2000,2.532346988916246
p100_MNIST_CNN_batchsize256_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize128_datasize256_total_epoch10_totaldata2000,7.561920024146364
p100_MNIST_CNN_batchsize16_datasize32_total_epoch10_totaldata50000,p3_VGG19_batchsize16_datasize224_total_epoch10_totaldata2000,0.6051598934530045
p100_MNIST_CNN_batchsize256_datasize256_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize256_datasize224_total_epoch10_totaldata2000,7.075934901996903
p100_MNIST_CNN_batchsize64_datasize32_total_epoch10_totaldata50000,p3_ResNetSmall_batchsize128_datasize256_total_epoch10_totaldata2000,7.528979223323357
p100_MNIST_CNN_batchsize128_datasize64_total_epoch10_totaldata5000,p3_LeNet5_batchsize128_datasize128_total_epoch10_totaldata5000,0.9448764537906702
p100_MNIST_CNN_batchsize256_datasize64_total_epoch10_totaldata5000,p3_LeNet5_batchsize32_datasize224_total_epoch10_totaldata2000,1.1548768454654637
p100_MNIST_CNN_batchsize256_datasize32_total_epoch10_totaldata50000,p3_MNIST_CNN_batchsize128_datasize128_total_epoch10_totaldata5000,2.2087311603387496
p100_MNIST_CNN_batchsize64_datasize256_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize256_datasize224_total_epoch10_totaldata2000,7.4439120786027155
p100_MNIST_CNN_batchsize128_datasize128_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize32_datasize224_total_epoch10_totaldata2000,2.508315070462877
p100_MNIST_CNN_batchsize32_datasize256_total_epoch10_totaldata2000,g5_CIFAR10_CNN_batchsize64_datasize256_total_epoch10_totaldata2000,4.376805841032638
p100_MNIST_CNN_batchsize16_datasize256_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize64_datasize256_total_epoch10_totaldata2000,8.326598924175595
p100_MNIST_CNN_batchsize64_datasize64_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize64_datasize64_total_epoch10_totaldata5000,1.3849146793106717
p100_MNIST_CNN_batchsize128_datasize256_total_epoch10_totaldata2000,g5_MNIST_CNN_batchsize128_datasize64_total_epoch10_totaldata5000,5.6845025508037175
p100_MNIST_CNN_batchsize128_datasize32_total_epoch10_totaldata50000,p3_LeNet5_batchsize64_datasize256_total_epoch10_totaldata2000,3.3251945155406135
p100_MNIST_CNN_batchsize32_datasize32_total_epoch10_totaldata50000,g5_CIFAR10_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,17.380647502162574
p100_AlexNet_batchsize32_datasize256_total_epoch10_totaldata2000,g4dn_VGG19_batchsize16_datasize224_total_epoch10_totaldata2000,0.6452555974836637
p100_AlexNet_batchsize128_datasize128_total_epoch10_totaldata5000,g4dn_ResNetSmall_batchsize16_datasize32_total_epoch10_totaldata50000,1.2235373613128486
p100_AlexNet_batchsize16_datasize256_total_epoch10_totaldata2000,g5_LeNet5_batchsize64_datasize32_total_epoch10_totaldata50000,4.487168630851978
p100_AlexNet_batchsize64_datasize32_total_epoch10_totaldata50000,g5_LeNet5_batchsize256_datasize32_total_epoch10_totaldata50000,6.302950807132639
p100_AlexNet_batchsize32_datasize64_total_epoch10_totaldata5000,g4dn_VGG19_batchsize256_datasize128_total_epoch10_totaldata5000,0.6445142978120822
p100_AlexNet_batchsize16_datasize128_total_epoch10_totaldata5000,g4dn_ResNet50_batchsize64_datasize32_total_epoch10_totaldata50000,1.425798455091047
p100_AlexNet_batchsize256_datasize32_total_epoch10_totaldata50000,g4dn_VGG19_batchsize64_datasize32_total_epoch10_totaldata50000,0.6046088453316129
p100_AlexNet_batchsize128_datasize32_total_epoch10_totaldata50000,g4dn_VGG19_batchsize64_datasize128_total_epoch10_totaldata5000,0.5998211455689073
p100_AlexNet_batchsize64_datasize128_total_epoch10_totaldata5000,g4dn_VGG19_batchsize256_datasize32_total_epoch10_totaldata50000,0.8915206132638267
p100_AlexNet_batchsize256_datasize128_total_epoch10_totaldata5000,g4dn_VGG19_batchsize256_datasize32_total_epoch10_totaldata50000,1.2320107822290765
p100_AlexNet_batchsize16_datasize32_total_epoch10_totaldata50000,g4dn_ResNet50_batchsize16_datasize32_total_epoch10_totaldata50000,4.92547600143633
p100_AlexNet_batchsize256_datasize64_total_epoch10_totaldata5000,g4dn_ResNet50_batchsize256_datasize64_total_epoch10_totaldata5000,5.184732954037512
p100_AlexNet_batchsize32_datasize32_total_epoch10_totaldata50000,g4dn_AlexNet_batchsize16_datasize224_total_epoch10_totaldata2000,1.4454914091381237
p100_AlexNet_batchsize64_datasize224_total_epoch10_totaldata2000,g4dn_ResNet50_batchsize64_datasize32_total_epoch10_totaldata50000,1.3181204697382118
p100_AlexNet_batchsize16_datasize224_total_epoch10_totaldata2000,g4dn_AlexNet_batchsize128_datasize64_total_epoch10_totaldata5000,1.192680623196293
p100_AlexNet_batchsize128_datasize64_total_epoch10_totaldata5000,g5_ResNet50_batchsize32_datasize256_total_epoch10_totaldata2000,5.353825175594031
p100_AlexNet_batchsize16_datasize64_total_epoch10_totaldata5000,p3_AlexNet_batchsize16_datasize224_total_epoch10_totaldata2000,4.5602156056946574
p100_AlexNet_batchsize64_datasize64_total_epoch10_totaldata5000,g4dn_ResNet50_batchsize256_datasize64_total_epoch10_totaldata5000,4.730373351262574
p100_AlexNet_batchsize32_datasize224_total_epoch10_totaldata2000,g5_VGG19_batchsize128_datasize224_total_epoch10_totaldata2000,1.5014116979109748
p100_AlexNet_batchsize32_datasize128_total_epoch10_totaldata5000,g4dn_AlexNet_batchsize128_datasize64_total_epoch10_totaldata5000,1.0505906856668246
p100_CIFAR10_CNN_batchsize32_datasize128_total_epoch10_totaldata5000,g5_CIFAR10_CNN_batchsize64_datasize256_total_epoch10_totaldata2000,2.7918611546885743
p100_CIFAR10_CNN_batchsize32_datasize32_total_epoch10_totaldata50000,p3_MNIST_CNN_batchsize16_datasize32_total_epoch10_totaldata50000,0.6303136031879591
p100_CIFAR10_CNN_batchsize128_datasize32_total_epoch10_totaldata50000,g4dn_AlexNet_batchsize256_datasize128_total_epoch10_totaldata5000,4.247485140259688
p100_CIFAR10_CNN_batchsize16_datasize128_total_epoch10_totaldata5000,g5_CIFAR10_CNN_batchsize64_datasize256_total_epoch10_totaldata2000,5.818506589767708
p100_CIFAR10_CNN_batchsize128_datasize64_total_epoch10_totaldata5000,p3_LeNet5_batchsize32_datasize224_total_epoch10_totaldata2000,1.854951265049298
p100_CIFAR10_CNN_batchsize64_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize128_datasize256_total_epoch10_totaldata2000,11.05075641759798
p100_CIFAR10_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,g4dn_AlexNet_batchsize32_datasize32_total_epoch10_totaldata50000,3.296780590646013
p100_CIFAR10_CNN_batchsize32_datasize224_total_epoch10_totaldata2000,g5_CIFAR10_CNN_batchsize64_datasize256_total_epoch10_totaldata2000,6.593886397515734
p100_CIFAR10_CNN_batchsize128_datasize256_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize128_datasize256_total_epoch10_totaldata2000,7.6408697893900515
p100_CIFAR10_CNN_batchsize256_datasize64_total_epoch10_totaldata5000,p3_CIFAR10_CNN_batchsize128_datasize64_total_epoch10_totaldata5000,1.5143321711392153
p100_CIFAR10_CNN_batchsize32_datasize256_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize256_datasize128_total_epoch10_totaldata5000,5.4329848434376995
p100_CIFAR10_CNN_batchsize128_datasize128_total_epoch10_totaldata5000,p3_CIFAR10_CNN_batchsize32_datasize256_total_epoch10_totaldata2000,4.246009803909546
p100_CIFAR10_CNN_batchsize64_datasize64_total_epoch10_totaldata5000,g5_ResNetSmall_batchsize128_datasize256_total_epoch10_totaldata2000,1.8943251331580453
p100_CIFAR10_CNN_batchsize256_datasize256_total_epoch10_totaldata2000,g5_CIFAR10_CNN_batchsize256_datasize256_total_epoch10_totaldata2000,12.06106216953763
p100_CIFAR10_CNN_batchsize256_datasize32_total_epoch10_totaldata50000,g4dn_CIFAR10_CNN_batchsize128_datasize128_total_epoch10_totaldata5000,5.240326950385042
p100_CIFAR10_CNN_batchsize128_datasize224_total_epoch10_totaldata2000,p3_VGG19_batchsize256_datasize128_total_epoch10_totaldata5000,6.300658496430257
p100_CIFAR10_CNN_batchsize64_datasize256_total_epoch10_totaldata2000,g5_VGG19_batchsize256_datasize128_total_epoch10_totaldata5000,7.982736178022182
p100_CIFAR10_CNN_batchsize256_datasize128_total_epoch10_totaldata5000,p3_CIFAR10_CNN_batchsize128_datasize224_total_epoch10_totaldata2000,6.178722476006851
p100_CIFAR10_CNN_batchsize16_datasize224_total_epoch10_totaldata2000,p3_VGG19_batchsize256_datasize64_total_epoch10_totaldata5000,5.7908287543219
p100_CIFAR10_CNN_batchsize256_datasize224_total_epoch10_totaldata2000,g5_CIFAR10_CNN_batchsize256_datasize256_total_epoch10_totaldata2000,7.122465005650545
p100_CIFAR10_CNN_batchsize64_datasize32_total_epoch10_totaldata50000,p3_MNIST_CNN_batchsize128_datasize256_total_epoch10_totaldata2000,14.07432411169914
p100_CIFAR10_CNN_batchsize32_datasize64_total_epoch10_totaldata5000,p3_ResNetSmall_batchsize64_datasize224_total_epoch10_totaldata2000,2.2687617852399766
p100_CIFAR10_CNN_batchsize16_datasize256_total_epoch10_totaldata2000,g5_CIFAR10_CNN_batchsize128_datasize256_total_epoch10_totaldata2000,5.9182572858996005
p100_CIFAR10_CNN_batchsize16_datasize32_total_epoch10_totaldata50000,p3_ResNetSmall_batchsize16_datasize64_total_epoch10_totaldata5000,4.229886278467974
p100_CIFAR10_CNN_batchsize64_datasize128_total_epoch10_totaldata5000,g5_ResNetSmall_batchsize256_datasize224_total_epoch10_totaldata2000,4.162780273719544
p100_InceptionV3_batchsize128_datasize256_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize64_datasize128_total_epoch10_totaldata5000,4.528890475222361
p100_InceptionV3_batchsize256_datasize128_total_epoch10_totaldata5000,g5_InceptionResNetV2_batchsize128_datasize128_total_epoch10_totaldata5000,5.6453379997520265
p100_InceptionV3_batchsize128_datasize224_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize16_datasize224_total_epoch10_totaldata2000,0.8020082921324941
p100_InceptionV3_batchsize64_datasize224_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize32_datasize224_total_epoch10_totaldata2000,1.0063250808138888
p100_InceptionV3_batchsize16_datasize128_total_epoch10_totaldata5000,p3_InceptionV3_batchsize16_datasize128_total_epoch10_totaldata5000,3.8034640281633543
p100_InceptionV3_batchsize64_datasize256_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize16_datasize256_total_epoch10_totaldata2000,4.3988323077224205
p100_InceptionV3_batchsize16_datasize256_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize16_datasize224_total_epoch10_totaldata2000,1.9762249701961472
p100_InceptionV3_batchsize32_datasize224_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize16_datasize224_total_epoch10_totaldata2000,1.1485530920483558
p100_InceptionV3_batchsize16_datasize224_total_epoch10_totaldata2000,p3_InceptionV3_batchsize16_datasize256_total_epoch10_totaldata2000,0.8193999994006356
p100_InceptionV3_batchsize128_datasize128_total_epoch10_totaldata5000,g5_ResNet50_batchsize32_datasize128_total_epoch10_totaldata5000,5.130615072954923
p100_InceptionV3_batchsize256_datasize224_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize128_datasize224_total_epoch10_totaldata2000,4.826720860390921
p100_InceptionV3_batchsize32_datasize256_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize16_datasize224_total_epoch10_totaldata2000,0.7327823161598661
p100_InceptionV3_batchsize32_datasize128_total_epoch10_totaldata5000,p3_InceptionV3_batchsize32_datasize128_total_epoch10_totaldata5000,0.8590820106606799
