,Similar_metric,DTW
p100_MNIST_CNN_batchsize32_datasize224_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize128_datasize32_total_epoch10_totaldata50000,3.7463258956992025
p100_MNIST_CNN_batchsize16_datasize224_total_epoch10_totaldata2000,g5_CIFAR10_CNN_batchsize32_datasize128_total_epoch10_totaldata5000,4.556089212559156
p100_MNIST_CNN_batchsize64_datasize128_total_epoch10_totaldata5000,g4dn_MNIST_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,2.214640674737681
p100_MNIST_CNN_batchsize256_datasize128_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize64_datasize224_total_epoch10_totaldata2000,4.151405577429557
p100_MNIST_CNN_batchsize32_datasize64_total_epoch10_totaldata5000,p3_CIFAR10_CNN_batchsize256_datasize64_total_epoch10_totaldata5000,1.547441306846455
p100_MNIST_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,g5_MNIST_CNN_batchsize16_datasize224_total_epoch10_totaldata2000,2.462459523083401
p100_MNIST_CNN_batchsize128_datasize224_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize16_datasize256_total_epoch10_totaldata2000,4.011054133102968
p100_MNIST_CNN_batchsize64_datasize224_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize64_datasize224_total_epoch10_totaldata2000,4.221304113774045
p100_MNIST_CNN_batchsize32_datasize128_total_epoch10_totaldata5000,p3_ResNetSmall_batchsize256_datasize128_total_epoch10_totaldata5000,3.6566213998956285
p100_MNIST_CNN_batchsize16_datasize128_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize16_datasize256_total_epoch10_totaldata2000,2.093664461085953
p100_MNIST_CNN_batchsize256_datasize224_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize128_datasize32_total_epoch10_totaldata50000,3.1333836344829886
p100_MNIST_CNN_batchsize16_datasize32_total_epoch10_totaldata50000,g5_AlexNet_batchsize16_datasize256_total_epoch10_totaldata2000,0.9485297249263102
p100_MNIST_CNN_batchsize256_datasize256_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize64_datasize224_total_epoch10_totaldata2000,3.7934111188958455
p100_MNIST_CNN_batchsize64_datasize32_total_epoch10_totaldata50000,p3_ResNetSmall_batchsize64_datasize256_total_epoch10_totaldata2000,7.477679357492852
p100_MNIST_CNN_batchsize128_datasize64_total_epoch10_totaldata5000,p3_ResNetSmall_batchsize256_datasize64_total_epoch10_totaldata5000,1.0600240217133907
p100_MNIST_CNN_batchsize256_datasize64_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize32_datasize64_total_epoch10_totaldata5000,0.8210072767624518
p100_MNIST_CNN_batchsize256_datasize32_total_epoch10_totaldata50000,g5_MNIST_CNN_batchsize16_datasize128_total_epoch10_totaldata5000,2.0930833302888514
p100_MNIST_CNN_batchsize64_datasize256_total_epoch10_totaldata2000,p3_MNIST_CNN_batchsize32_datasize32_total_epoch10_totaldata50000,2.79618097827983
p100_MNIST_CNN_batchsize128_datasize128_total_epoch10_totaldata5000,p3_ResNetSmall_batchsize64_datasize128_total_epoch10_totaldata5000,2.0313320364673224
p100_MNIST_CNN_batchsize32_datasize256_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize16_datasize256_total_epoch10_totaldata2000,5.063901764124213
p100_MNIST_CNN_batchsize16_datasize256_total_epoch10_totaldata2000,g4dn_LeNet5_batchsize16_datasize224_total_epoch10_totaldata2000,7.483579849968916
p100_MNIST_CNN_batchsize64_datasize64_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize256_datasize64_total_epoch10_totaldata5000,0.9534515157342331
p100_MNIST_CNN_batchsize128_datasize256_total_epoch10_totaldata2000,p3_CIFAR10_CNN_batchsize256_datasize256_total_epoch10_totaldata2000,4.990623856795283
p100_MNIST_CNN_batchsize128_datasize32_total_epoch10_totaldata50000,g5_MNIST_CNN_batchsize32_datasize64_total_epoch10_totaldata5000,3.0166059965656227
p100_MNIST_CNN_batchsize32_datasize32_total_epoch10_totaldata50000,g5_MNIST_CNN_batchsize16_datasize32_total_epoch10_totaldata50000,10.980837489412977
p100_AlexNet_batchsize32_datasize256_total_epoch10_totaldata2000,g4dn_VGG19_batchsize128_datasize32_total_epoch10_totaldata50000,1.5860384503138982
p100_AlexNet_batchsize128_datasize128_total_epoch10_totaldata5000,g5_VGG19_batchsize64_datasize256_total_epoch10_totaldata2000,9.191387504885352
p100_AlexNet_batchsize16_datasize256_total_epoch10_totaldata2000,p3_AlexNet_batchsize16_datasize32_total_epoch10_totaldata50000,3.0842676416735286
p100_AlexNet_batchsize64_datasize32_total_epoch10_totaldata50000,p3_AlexNet_batchsize16_datasize32_total_epoch10_totaldata50000,0.8186083356453907
p100_AlexNet_batchsize32_datasize64_total_epoch10_totaldata5000,p3_VGG19_batchsize16_datasize224_total_epoch10_totaldata2000,2.1534466682370303
p100_AlexNet_batchsize16_datasize128_total_epoch10_totaldata5000,g4dn_VGG19_batchsize16_datasize128_total_epoch10_totaldata5000,0.7320225650415393
p100_AlexNet_batchsize256_datasize32_total_epoch10_totaldata50000,g4dn_VGG19_batchsize64_datasize32_total_epoch10_totaldata50000,0.9507627660559086
p100_AlexNet_batchsize128_datasize32_total_epoch10_totaldata50000,g4dn_VGG19_batchsize64_datasize32_total_epoch10_totaldata50000,0.8701845257500449
p100_AlexNet_batchsize64_datasize128_total_epoch10_totaldata5000,g4dn_VGG19_batchsize256_datasize32_total_epoch10_totaldata50000,2.5927583069623457
p100_AlexNet_batchsize256_datasize128_total_epoch10_totaldata5000,p3_InceptionV3_batchsize16_datasize224_total_epoch10_totaldata2000,6.563098655905505
p100_AlexNet_batchsize16_datasize32_total_epoch10_totaldata50000,g4dn_ResNet50_batchsize16_datasize32_total_epoch10_totaldata50000,6.029330141153916
p100_AlexNet_batchsize256_datasize64_total_epoch10_totaldata5000,g4dn_VGG19_batchsize128_datasize64_total_epoch10_totaldata5000,3.761124155599565
p100_AlexNet_batchsize32_datasize32_total_epoch10_totaldata50000,g4dn_AlexNet_batchsize32_datasize128_total_epoch10_totaldata5000,2.8274969217516452
p100_AlexNet_batchsize64_datasize224_total_epoch10_totaldata2000,g5_AlexNet_batchsize32_datasize256_total_epoch10_totaldata2000,1.3724498667177776
p100_AlexNet_batchsize16_datasize224_total_epoch10_totaldata2000,g4dn_VGG19_batchsize16_datasize128_total_epoch10_totaldata5000,1.2133251556676068
p100_AlexNet_batchsize128_datasize64_total_epoch10_totaldata5000,g5_InceptionV3_batchsize64_datasize256_total_epoch10_totaldata2000,3.0400605238113583
p100_AlexNet_batchsize16_datasize64_total_epoch10_totaldata5000,g5_AlexNet_batchsize16_datasize32_total_epoch10_totaldata50000,13.155857994780858
p100_AlexNet_batchsize64_datasize64_total_epoch10_totaldata5000,g5_InceptionV3_batchsize64_datasize256_total_epoch10_totaldata2000,2.5883470637792394
p100_AlexNet_batchsize32_datasize224_total_epoch10_totaldata2000,g5_AlexNet_batchsize32_datasize256_total_epoch10_totaldata2000,1.8224040859030872
p100_AlexNet_batchsize32_datasize128_total_epoch10_totaldata5000,g4dn_VGG19_batchsize128_datasize32_total_epoch10_totaldata50000,1.1731061475858249
p100_CIFAR10_CNN_batchsize32_datasize128_total_epoch10_totaldata5000,g4dn_ResNetSmall_batchsize16_datasize224_total_epoch10_totaldata2000,3.0328014097249496
p100_CIFAR10_CNN_batchsize32_datasize32_total_epoch10_totaldata50000,g5_AlexNet_batchsize128_datasize32_total_epoch10_totaldata50000,5.34926046292439
p100_CIFAR10_CNN_batchsize128_datasize32_total_epoch10_totaldata50000,g5_CIFAR10_CNN_batchsize32_datasize256_total_epoch10_totaldata2000,2.854051838874428
p100_CIFAR10_CNN_batchsize16_datasize128_total_epoch10_totaldata5000,g5_VGG19_batchsize16_datasize64_total_epoch10_totaldata5000,7.1503666237437615
p100_CIFAR10_CNN_batchsize128_datasize64_total_epoch10_totaldata5000,g5_ResNetSmall_batchsize32_datasize256_total_epoch10_totaldata2000,1.4298422217922908
p100_CIFAR10_CNN_batchsize64_datasize224_total_epoch10_totaldata2000,p3_MNIST_CNN_batchsize32_datasize224_total_epoch10_totaldata2000,4.228950300106607
p100_CIFAR10_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,g5_CIFAR10_CNN_batchsize16_datasize128_total_epoch10_totaldata5000,1.8297938727189136
p100_CIFAR10_CNN_batchsize32_datasize224_total_epoch10_totaldata2000,g5_InceptionV3_batchsize128_datasize128_total_epoch10_totaldata5000,3.689088547293683
p100_CIFAR10_CNN_batchsize128_datasize256_total_epoch10_totaldata2000,p3_InceptionV3_batchsize128_datasize224_total_epoch10_totaldata2000,4.927082254074071
p100_CIFAR10_CNN_batchsize256_datasize64_total_epoch10_totaldata5000,g4dn_MNIST_CNN_batchsize128_datasize64_total_epoch10_totaldata5000,1.1503982405627906
p100_CIFAR10_CNN_batchsize32_datasize256_total_epoch10_totaldata2000,g5_InceptionV3_batchsize256_datasize128_total_epoch10_totaldata5000,4.034392932957334
