Instances,model,batchsize,datasize,totaldata,total_latency_second,one_epoch_average_second,clocks_current_graphicsMHz_mean,clocks_current_graphicsMHz_std,clocks_current_graphicsMHz_min,clocks_current_graphicsMHz_25,clocks_current_graphicsMHz_50,clocks_current_graphicsMHz_75,clocks_current_graphicsMHz_max,clocks_current_smMHz_mean,clocks_current_smMHz_std,clocks_current_smMHz_min,clocks_current_smMHz_25,clocks_current_smMHz_50,clocks_current_smMHz_75,clocks_current_smMHz_max,memory_freeMiB_mean,memory_freeMiB_std,memory_freeMiB_min,memory_freeMiB_25,memory_freeMiB_50,memory_freeMiB_75,memory_freeMiB_max,memory_totalMiB_mean,memory_totalMiB_std,memory_totalMiB_min,memory_totalMiB_25,memory_totalMiB_50,memory_totalMiB_75,memory_totalMiB_max,memory_usedMiB_mean,memory_usedMiB_std,memory_usedMiB_min,memory_usedMiB_25,memory_usedMiB_50,memory_usedMiB_75,memory_usedMiB_max,power_drawW_mean,power_drawW_std,power_drawW_min,power_drawW_25,power_drawW_50,power_drawW_75,power_drawW_max,temperature_gpu_mean,temperature_gpu_std,temperature_gpu_min,temperature_gpu_25,temperature_gpu_50,temperature_gpu_75,temperature_gpu_max,utilization_gpu_mean,utilization_gpu_std,utilization_gpu_min,utilization_gpu_25,utilization_gpu_50,utilization_gpu_75,utilization_gpu_max,utilization_memory_mean,utilization_memory_std,utilization_memory_min,utilization_memory_25,utilization_memory_50,utilization_memory_75,utilization_memory_max,clocks_throttle_reasons_sw_power_cap_Active,clocks_throttle_reasons_sw_power_cap_NotActive,clocks_throttle_reasons_active_0x0000000000000000,clocks_throttle_reasons_active_0x0000000000000001,clocks_throttle_reasons_active_0x0000000000000004
p100,MNIST_CNN,32,224,2000,27.939,2.7939,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,213.28225806451616,56.677232393647955,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16066.717741935483,56.677232393647955,15781.0,16081.0,16081.0,16081.0,16081.0,122.11241935483869,31.986772541236572,40.51,117.35,130.34,142.265,161.27,53.403225806451616,0.9344452539398352,51.0,53.0,54.0,54.0,54.0,76.4274193548387,25.45271821571065,0.0,81.0,87.0,89.0,91.0,39.08064516129032,15.481265561566653,0.0,38.0,47.0,48.0,49.0,0,248,248,0,0
p100,MNIST_CNN,16,224,2000,37.769,3.7769,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,210.07100591715977,49.537453859581575,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16069.928994082842,49.537453859581575,15781.0,16081.0,16081.0,16081.0,16081.0,120.9964201183432,27.340474587100765,41.0,116.6525,128.915,139.285,148.5,53.43195266272189,0.9259447196594904,50.0,53.0,54.0,54.0,54.0,79.48816568047337,23.1014054489608,0.0,83.0,89.0,90.0,92.0,41.914201183431956,15.058985096921909,0.0,45.0,49.0,50.0,51.0,0,338,338,0,0
p100,MNIST_CNN,64,128,5000,16.233,1.6233,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,224.22666666666663,72.5311455124709,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16055.773333333333,72.53114551247094,15781.0,16081.0,16081.0,16081.0,16081.0,110.9512,32.644829573443864,41.24,106.0925,124.71,131.89499999999998,144.62,53.42666666666667,0.9507797341699484,51.0,53.0,54.0,54.0,54.0,61.40666666666666,26.575988725422445,0.0,59.0,75.0,78.0,80.0,27.27333333333333,13.308369807573092,0.0,24.0,35.0,36.0,37.0,0,150,150,0,0
p100,MNIST_CNN,256,128,5000,15.783,1.5783,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,228.06944444444446,77.08279562592018,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16051.930555555557,77.0827956259202,15781.0,16081.0,16081.0,16081.0,16081.0,114.12020833333332,42.523037383845256,40.76,91.6525,126.705,150.5925,170.65,52.95833333333334,1.0503079801405173,51.0,53.0,53.0,54.0,54.0,63.38888888888889,30.85860175466967,0.0,48.75,79.0,84.0,99.0,28.368055555555557,15.528339320958375,0.0,13.75,37.0,40.0,44.0,0,144,144,0,0
p100,MNIST_CNN,32,64,5000,10.475999999999999,1.0476,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,238.77319587628867,88.84156135534191,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16041.226804123711,88.84156135534192,15781.0,16081.0,16081.0,16081.0,16081.0,64.13577319587628,15.586568726193633,38.34,54.42,70.92,77.48,82.19,42.89690721649485,0.30565967194176336,42.0,43.0,43.0,43.0,43.0,31.123711340206185,16.472361784186898,0.0,24.0,40.0,44.0,46.0,11.298969072164951,6.774899981508964,0.0,6.0,15.0,17.0,18.0,0,97,97,0,0
p100,MNIST_CNN,16,64,5000,17.355999999999998,1.7356000000000005,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,222.08641975308643,69.13668117574511,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16057.913580246914,69.13668117574511,15781.0,16081.0,16081.0,16081.0,16081.0,57.23580246913581,9.122281283301392,37.84,52.345,61.83,63.42,66.62,40.06172839506173,0.2414078280362087,40.0,40.0,40.0,40.0,41.0,29.62962962962963,12.07064551263881,0.0,27.0,36.0,37.0,38.0,6.166666666666668,2.8876477134114173,0.0,5.0,8.0,8.0,8.0,0,162,162,0,0
p100,MNIST_CNN,128,224,2000,22.674,2.2674,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,219.73076923076923,65.71586191794175,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16060.26923076923,65.71586191794177,15781.0,16081.0,16081.0,16081.0,16081.0,134.88370192307693,49.89399653359406,40.76,99.6325,156.43,172.37,196.17,54.278846153846146,1.4675671199571552,51.0,54.0,55.0,55.0,56.0,73.21153846153847,29.450252191508326,0.0,70.75,87.0,90.0,100.0,33.64903846153846,16.064691051740944,0.0,27.0,42.0,44.0,49.0,0,208,208,0,0
p100,MNIST_CNN,64,224,2000,24.3,2.43,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,217.61261261261262,63.261744735578745,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16062.387387387387,63.26174473557873,15781.0,16081.0,16081.0,16081.0,16081.0,130.68081081081078,42.895356500376145,40.51,112.19750000000002,145.97,163.2,179.61,53.3963963963964,1.2128966060635713,50.0,53.0,54.0,54.0,55.0,72.13513513513513,27.972671371301214,0.0,75.0,86.0,88.0,95.0,34.671171171171174,15.467817340620007,0.0,29.0,43.0,45.0,46.0,0,222,222,0,0
p100,MNIST_CNN,32,128,5000,19.253,1.9253,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,0.0,1328.0,1328.0,1328.0,1328.0,1328.0,220.79661016949154,68.12925040811058,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16059.203389830507,68.12925040811054,15781.0,16081.0,16081.0,16081.0,16081.0,103.01785310734465,28.860275602714943,40.29,96.72,116.54,122.03,134.29,51.56497175141243,0.7366340249387638,50.0,51.0,52.0,52.0,52.0,57.36158192090395,23.17875922696229,0.0,59.0,68.0,71.0,73.0,29.644067796610173,13.66327531926086,0.0,26.0,37.0,38.0,39.0,0,177,177,0,0
p100,MNIST_CNN,16,128,5000,25.113000000000003,2.5113,1314.108225108225,41.70018738214046,1189.0,1328.0,1328.0,1328.0,1328.0,1314.108225108225,41.70018738214046,1189.0,1328.0,1328.0,1328.0,1328.0,216.03030303030303,60.97921199167109,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16063.969696969694,60.97921199167108,15781.0,16081.0,16081.0,16081.0,16081.0,93.80064935064934,23.52504578405168,34.43,86.07,104.23,108.59,118.47,47.83116883116883,0.8299177130912082,46.0,48.0,48.0,48.0,49.0,51.887445887445885,18.94581215548056,0.0,51.0,61.0,63.0,64.0,21.307359307359306,8.669079859196103,0.0,21.0,26.0,26.0,27.0,0,231,231,0,0
